"ID_Fact_Sales","ID_Temps","ID_Product","ID_Client","ID_Localisation"
"1","1385","1","1","1"
"2","1254","2","2","2"
"3","3360","3","3","3"
"4","3454","4","4","4"
"5","736","5","5","5"
"6","1522","6","6","6"
"7","840","7","7","7"
"8","601","8","8","8"
"9","144","9","9","9"
"10","2989","10","10","10"
"11","112","11","11","11"
"12","3528","12","12","12"
"13","750","13","13","13"
"14","3508","14","14","14"
"15","999","15","15","15"
"16","3397","16","16","16"
"17","85","17","17","17"
"18","986","18","18","18"
"19","3109","19","19","19"
"20","3425","20","20","20"
"21","1550","21","21","21"
"22","421","22","22","22"
"23","2118","23","23","23"
"24","2775","24","24","24"
"25","3543","25","25","25"
"26","3505","26","26","26"
"27","515","27","27","27"
"28","2892","28","28","28"
"29","3146","29","29","29"
"30","1083","30","30","30"
"31","1753","31","31","31"
"32","555","32","32","32"
"33","420","33","33","33"
"34","3427","34","34","34"
"35","1305","35","35","35"
"36","2344","36","36","36"
"37","1649","37","37","37"
"38","3343","38","38","38"
"39","2884","39","39","39"
"40","2814","40","33","40"
"41","2607","41","40","41"
"42","614","42","41","42"
"43","798","43","42","43"
"44","3419","44","43","44"
"45","2389","45","44","45"
"46","1224","46","45","46"
"47","9","47","46","47"
"48","1181","48","47","48"
"49","2430","49","48","49"
"50","883","50","49","50"
"51","155","51","50","51"
"52","1435","52","51","52"
"53","2457","53","52","53"
"54","3165","54","53","54"
"55","1259","55","54","55"
"56","3535","56","55","56"
"57","917","57","56","57"
"58","3100","58","57","58"
"59","2306","59","58","59"
"60","3066","60","59","60"
"61","2127","61","60","61"
"62","3408","62","61","62"
"63","2827","63","62","63"
"64","1461","64","63","64"
"65","1193","65","64","65"
"66","3290","66","65","66"
"67","2954","67","66","67"
"68","3105","68","67","68"
"69","1575","69","68","69"
"70","1296","70","69","70"
"71","2142","71","70","71"
"72","1054","72","71","72"
"73","2601","73","72","73"
"74","386","74","73","74"
"75","1433","75","74","75"
"76","1070","76","75","76"
"77","912","77","76","77"
"78","2415","78","77","78"
"79","3607","79","78","79"
"80","991","80","79","80"
"81","3156","81","80","81"
"82","2074","82","81","82"
"83","1275","83","82","83"
"84","445","84","83","84"
"85","187","85","84","85"
"86","811","86","85","86"
"87","385","87","86","87"
"88","926","88","87","88"
"89","915","89","88","89"
"90","2609","90","89","90"
"91","800","91","90","91"
"92","3500","92","91","92"
"93","2265","93","92","93"
"94","266","94","93","94"
"95","605","95","94","95"
"96","3638","96","95","96"
"97","1721","97","96","97"
"98","1649","98","97","98"
"99","773","99","98","99"
"100","1569","100","99","100"
"101","2574","101","100","101"
"102","1144","102","101","102"
"103","3365","103","102","103"
"104","1564","104","103","104"
"105","832","105","104","105"
"106","577","106","105","106"
"107","1920","107","106","107"
"108","2472","108","107","108"
"109","91","109","108","109"
"110","175","110","109","110"
"111","1034","111","110","111"
"112","2231","112","111","112"
"113","1219","113","112","113"
"114","898","114","113","114"
"115","3065","115","114","115"
"116","3347","116","115","116"
"117","410","117","116","117"
"118","3473","118","117","118"
"119","2008","119","118","119"
"120","265","120","119","120"
"121","1512","121","120","121"
"122","632","122","121","122"
"123","1636","123","83","123"
"124","990","124","122","124"
"125","1558","125","123","125"
"126","1899","126","124","126"
"127","3328","127","125","127"
"128","2167","128","126","128"
"129","1867","129","127","129"
"130","2425","130","128","130"
"131","1424","131","129","131"
"132","3608","132","130","132"
"133","143","133","131","133"
"134","1784","134","132","134"
"135","2576","135","133","135"
"136","2069","136","134","136"
"137","86","137","135","137"
"138","1375","138","136","138"
"139","1153","139","137","139"
"140","1227","140","138","140"
"141","2555","141","139","141"
"142","1844","142","140","142"
"143","1848","143","20","143"
"144","2572","144","103","144"
"145","3042","145","47","145"
"146","3514","146","141","146"
"147","3719","147","142","147"
"148","1214","148","62","148"
"149","3467","149","143","149"
"150","460","150","144","150"
"151","3368","151","145","151"
"152","1718","152","146","152"
"153","3648","153","147","153"
"154","1708","154","148","154"
"155","855","155","149","155"
"156","481","156","150","156"
"157","2535","157","151","157"
"158","2384","158","152","158"
"159","292","159","18","159"
"160","3519","160","153","160"
"161","2057","161","154","161"
"162","216","162","155","162"
"163","3531","163","156","163"
"164","3693","164","157","164"
"165","1247","165","158","165"
"166","494","166","159","166"
"167","342","167","147","167"
"168","3523","168","160","168"
"169","3621","169","161","169"
"170","3617","170","162","170"
"171","2967","171","163","171"
"172","2680","172","164","172"
"173","2333","173","165","173"
"174","1892","174","166","174"
"175","1984","175","51","175"
"176","3519","176","167","176"
"177","3473","177","168","177"
"178","941","178","169","178"
"179","995","179","170","179"
"180","3302","180","59","180"
"181","471","181","171","181"
"182","197","182","172","182"
"183","343","183","173","183"
"184","2799","184","15","184"
"185","305","185","133","185"
"186","2206","186","174","186"
"187","3386","187","175","187"
"188","51","188","22","188"
"189","1564","189","176","189"
"190","518","190","177","190"
"191","3138","191","111","191"
"192","389","192","178","192"
"193","2023","193","179","193"
"194","2033","194","180","194"
"195","3148","195","181","195"
"196","3742","196","182","196"
"197","1674","197","183","197"
"198","2703","198","184","198"
"199","3339","199","185","199"
"200","296","200","186","200"
"201","1495","201","187","201"
"202","1672","202","2","202"
"203","741","203","188","203"
"204","3734","204","8","204"
"205","1914","205","189","205"
"206","1577","206","98","206"
"207","101","207","190","207"
"208","1002","208","191","208"
"209","1786","209","192","209"
"210","1377","210","193","210"
"211","188","211","194","211"
"212","2313","212","195","212"
"213","1710","213","196","213"
"214","2658","214","197","214"
"215","386","215","198","215"
"216","1701","216","199","216"
"217","3327","217","200","217"
"218","3242","218","201","218"
"219","951","219","202","219"
"220","1385","220","203","220"
"221","2320","221","204","221"
"222","870","222","181","222"
"223","789","223","205","223"
"224","3671","224","206","224"
"225","2895","225","207","225"
"226","3256","226","208","226"
"227","3177","227","209","227"
"228","2303","228","210","228"
"229","93","229","211","229"
"230","3113","230","212","230"
"231","2081","231","213","231"
"232","1497","232","214","232"
"233","938","233","215","233"
"234","3135","234","216","234"
"235","2069","235","145","235"
"236","487","236","217","236"
"237","2593","237","218","237"
"238","954","238","219","238"
"239","3227","239","220","239"
"240","1485","240","53","240"
"241","885","241","221","241"
"242","1151","242","97","242"
"243","3000","243","222","243"
"244","198","244","223","244"
"245","1206","245","105","245"
"246","2515","246","224","246"
"247","638","247","225","247"
"248","1366","248","226","248"
"249","305","249","197","249"
"250","710","250","66","250"
"251","3068","251","227","251"
"252","2367","252","176","252"
"253","3618","253","119","253"
"254","3043","254","228","254"
"255","3503","255","229","255"
"256","3210","256","230","256"
"257","3737","257","231","257"
"258","1229","258","232","258"
"259","1361","259","233","259"
"260","2995","260","234","260"
"261","1594","261","235","261"
"262","408","262","236","262"
"263","1545","263","237","263"
"264","2183","264","238","264"
"265","728","265","239","265"
"266","1067","266","240","266"
"267","2399","267","82","267"
"268","3574","268","241","268"
"269","227","269","242","269"
"270","2690","270","243","270"
"271","2011","271","222","271"
"272","529","272","244","272"
"273","3354","273","75","273"
"274","838","274","245","274"
"275","3433","275","118","275"
"276","628","276","246","276"
"277","1406","277","231","277"
"278","2025","278","191","278"
"279","2744","279","247","279"
"280","2780","280","119","280"
"281","2980","281","248","281"
"282","2602","282","249","282"
"283","1378","283","250","283"
"284","339","284","251","284"
"285","3584","285","252","285"
"286","3551","286","253","286"
"287","1381","287","254","287"
"288","3575","288","255","288"
"289","133","289","256","289"
"290","1973","290","257","290"
"291","3317","291","258","291"
"292","806","292","73","292"
"293","2939","293","259","293"
"294","1707","294","260","294"
"295","3597","295","261","295"
"296","3709","296","262","296"
"297","826","297","263","297"
"298","3475","298","264","298"
"299","3140","299","116","299"
"300","2512","300","182","300"
"301","630","301","265","301"
"302","2357","302","266","302"
"303","392","303","267","303"
"304","1197","304","268","304"
"305","1310","305","160","305"
"306","3474","306","269","306"
"307","1390","307","78","307"
"308","3501","308","270","308"
"309","1788","309","271","309"
"310","3538","310","272","310"
"311","600","311","273","311"
"312","3241","312","222","312"
"313","771","313","274","313"
"314","566","314","189","314"
"315","479","315","275","315"
"316","2667","316","276","316"
"317","308","317","277","317"
"318","1698","318","278","318"
"319","2548","319","244","319"
"320","1058","320","279","320"
"321","569","321","115","321"
"322","1573","322","280","322"
"323","2120","323","281","323"
"324","2673","324","282","324"
"325","1239","325","283","325"
"326","619","326","270","326"
"327","1231","327","284","327"
"328","1116","328","50","328"
"329","3657","329","285","329"
